"problem","image_problem","answer"
"Roinn A Ceisteanna Gearrfhreagra 50 marc
Freagair deich gcinn ar bith de na míreanna seo a leanas: (a), (b), (c)...
Ceist 1
(a) Scríobh breac-chuntas ar phríomhdhifríocht amháin idir cearta dearfacha agus diúltacha.","","(a) Scríobh breac-chuntas ar phríomhdhifríocht amháin idir cearta dearfacha agus diúltacha 3 mharc + 2 mharc
D’fhéadfaí freagraí tagairt a dhéanamh do:
•	Is ionann ceart diúltach agus saoirse ó rud éigin, agus is ionann ceart dearfach agus rud éigin a dhéanamh.
•	Mar shampla, is cearta diúltacha iad na cearta chun saoirse cainte agus tionóil, mar gheall go gcuireann siad teorainn ar dhaoine eile do chuid saoirse a chur ar cheall
•	Cur síos ar shampla ábhartha
Cur síos an-mhaith 3M	Cur síos maith 2M
Cur síos maith 2M	Cur síos réasúnta 1M
Cur síos réasúnta 1M

Nóta: Má thugtar 2M nó níos lú ar an gcéad phointe, marcáil an dara pointe as 3M"
"Roinn A Ceisteanna Gearrfhreagra 50 marc
Freagair deich gcinn ar bith de na míreanna seo a leanas: (a), (b), (c)...
Ceist 1
(b) Mínigh an ról atá ag an gCeann Comhairle i nDáil Éireann.","","(b) Mínigh an ról atá ag an gCeann Comhairle i nDáil Éireann. 5 mharc
D’fhéadfaí le freagraí tagairt a dhéanamh do:
•	Cathaoirleach a dhéanamh ar dhíospóireachtaí na Dála
•	Maoirseacht a dhéanamh ar vótái agus torthaí a fhógairt
•	Glacann sé/sí rialú ar an teach

Míniú an-mhaith 4 - 5M
Míniú maith 2 - 3M
Míniú réasúnta 0 - 1M"
"Roinn A Ceisteanna Gearrfhreagra 50 marc
Freagair deich gcinn ar bith de na míreanna seo a leanas: (a), (b), (c)...
Ceist 1
(c) Mhol an smaointeoir tábhachtach Andre Gunder-Frank Teoiric an Spleáchais mar iarracht le míniú a thabhairt ar an gcúis a bhfanann roinnt tíortha tearcfhorbartha.
Mínigh go hachomair an teoiric seo.","","(c) Molann an príomh-smaointeoir Andre Gunder-Frank Teoiric an Spleáchais mar iarracht le míniú a thabhairt ar an gcúis a bhfanann roinnt tíortha tearcfhorbartha. Mínigh go hachomair an teoiric seo. 5 mharc
Míniú an-mhaith 4 - 5M
Míniú maith 2 - 3M
Míniú réasúnta 0 - 1M"
"(d) Scríobh anailís chriticiúil an bhfás atá ar iriseoireacht saoránach i saol an lae inniu.","","(d) Scríobh anailís chriticiúil an bhfás atá ar iriseoireacht saoránach i saol an lae inniu. 5 mharc
Anailís chriticiúil an-mhaith 4-5M
Anailís chriticiúil maith 2-3M
Anailís chriticiúil réasúnta 0-1M"
"(e) An spreagtar daoine óga chun cearta daoine eile a chosaint agus a chur chun cinn nuair a fhoghlaimíonn siad faoi chearta daonna in ábhair amhail an Pholaitíocht agus an tSochaí?
Mínigh do fhreagra.","","(e) An spreagtar daoine óga chun cearta daoine eile a chosaint agus a chur chun cinn nuair a fhoghlaimíonn siad faoi chearta daonna in ábhair amhail an Pholaitíocht agus an tSochaí?
Mínigh do fhreagra. 5 mharc
Míniú an-mhaith 4 - 5M
Míniú maith 2 - 3M
Míniú réasúnta 0 - 1M"
"(f) Déan trácht ar an teachtaireacht san íomhá seo i gcomhthéacs cearta leanaí i saol an lae inniu.","","(f) Déan trácht ar an teachtaireacht san íomhá seo i gcomhthéacs cearta leanaí i saol an lae inniu. 5 mharc
D’fhéadfaí le freagraí tagairt a dhéanamh do:
•	Coinbhinsiún na Náisiún Aontaithe um Chearta an Linbh / Dearbhú Uilechoiteann Chearta an Duine
•	An ceart chun oideachais
•	Cur síos ar shampla ábhartha

Trácht an-mhaith 4 - 5M
Trácht maith 2 - 3M
Trácht réasúnta 0 - 1M"
"Déan cur síos ar an fheidhm atá le forógra sa pholaitíocht pháirtí.","","(g) Déan cur síos ar an fheidhm atá le forógra sa pholaitíocht pháirtí.
D’fhéadfaí le freagraí tagairt a dhéanamh do:
•	Fís nó rún don rialtas a leagan amach
•	Chun polasaithe páirtithe a mhíniú
Cur síos an-mhaith 4 - 5M
Cur síos maith 2 - 3M
Cur síos measartha 0 - 1M"
"Déan trácht ar chur i láthair na teachtaireachta san íomhá seo i gcomhthéacs na géarchéime aeráide.","","(h) Déan trácht ar chur i láthair i láthair na teachtaireachta san íomhá seo i gcomhthéacs na géarchéime aeráide.
Tráchtaireacht an-mhaith 4 - 5M
Tráchtaireacht mhaith 2 - 3M
Tráchtaireacht réasúnta 0 - 1M"
"Déan cur síos ar dhá ghné a bhaineann le stát daonlathach.","","(i) Déan cur síos ar dhá ghné a bhaineann le stát daonlathach.
D’fhéadfaí le freagraí tagairt a dhéanamh do:
•	Freagrach as bunchearta daonna
•	Ceart chun vótála
•	Dlí agus ord
•	Na meáin shaora agus oscailte
•	Seiceanna agus iarmhéideanna
•	Cur síos ar shampla ábhartha

Glac le gnéithe ábhartha eile
Cur síos an-mhaith 3M
Cur síos maith 2M
Cur síos réasúnta 1M
Cur síos maith 2M
Cur síos réasúnta 1M

Nóta: Má thugtar 2M nó níos lú ar an gcéad phointe, marcáil an dara pointe as 3M"
"Tabhair dhá shampla den tslí a dtreisionn córas oideachais na hÉireann féiniúlacht Éireannach.","","(j) Tabhair dhá shampla den tslí a dtreisionn córas oideachais na hÉireann féiniúlacht Éireannach.
D’fhéadfaí le freagraí tagairt a dhéanamh do:
•	Ábhar m.sh. an Ghaeilge, Stair, Ceol, Corpoideachas
•	Tábhacht an chreidimh i scoileanna

Sampla 1
Sampla an-mhaith 3M
Sampla maith 2M
Sampla measartha 1M
Sampla 2
Sampla maith 2M
Sampla measartha 1M

Nóta: Má thugtar 2M nó níos lú ar an gcéad phointe, marcáil an dara pointe as 3M"
